번호,금융용어,정의,비유,왜 중요?,오해 교정,예시
82,공모주,기업이 처음으로 일반 투자자에게 공개 판매하는 주식,‘새로 문 여는 가게의 첫 주주 모집’,기업 자금조달과 초기 투자 기회,항상 수익이 보장되진 않음,"공모주에는 카카오뱅크, 크래프톤, IPO 등이 있었다."
83,주가,주식이 거래되는 시장 가격,회사의 ‘인기 점수판’,기업 가치와 투자심리 반영,주가 상승이 항상 좋은 건 아님,주가가 10만에서 12만으로 상승 시 20%의 수익이 난다.
84,투자,미래의 수익을 기대하며 자본을 투입,씨앗을 심어 열매를 기다리는 일,자본의 효율적 배분과 경제 성장 원동력,도박과 다름 - 분석 기반 활동,투자의 종류에는 주식·부동산·펀드 등이 있다.
85,주주,기업의 주식을 소유한 사람,‘회사 공동 주인’,기업 의사결정에 참여 가능,단순 이익 추구가 아닌 성장 동반자,주주의 종류에는 개인·기관·외국인 등이 있다.
86,매출,상품·서비스를 팔아 얻은 총수입,기업의 ‘매출액 체온’,기업 규모와 활동성을 판단,매출이익과 혼동하면 안 됨,연 매출 1조원으 기업이지만 사용되는 원가와 인건비가 높으면 실제 이익은 적을 수 있다.
87,영업이익,매출에서 영업비용을 뺀 이익,기업의 ‘실제 장사 실력’,본업 수익성 판단의 핵심 지표,순이익과 혼동 주의,"매출이 100억 원이고 영업 비용이 80억 원이면, 영업이익이 20억 원이 된다. "
88,순이익,모든 비용과 세금을 뺀 실제 남은 이익,기업의 ‘진짜 손익’,주주 배당 및 투자 판단 근거,현금흐름과 동일하지 않음,"영업이익이 20억 원이고 세금이 5억이면, 순이익이 15억 원이 된다."
89,자산,"기업이 보유한 현금, 건물, 기계 등 경제적 가치",‘회사 몸의 근육’,재무상태와 성장 여력 판단,자산이 많아도 부채가 많으면 위험,"자산의 종류에는 토지, 설비, 현금 등이 있다."
90,부채,갚아야 할 채무나 의무,‘회사 몸의 짐’,재무 안정성과 부도 위험 판단,부채 자체는 나쁜 것이 아님 - 성장에 활용,"부채의 종류에는 은행 대출금, 미지급금 등이 있다."
91,자본,자산에서 부채를 뺀 순수한 자기 돈,기업의 ‘체력’,재무 건전성의 핵심 지표,자본이 많다고 무조건 효율적은 아님,"회사의 자산이 100억이고, 부채가 60억이 경우, 자본은 40억이 된다."
92,재무제표,기업의 재무상태와 성과를 보여주는 보고서,‘기업의 건강검진표’,투자와 경영 판단의 기본 자료,숫자만 보는 것이 아니라 해석이 중요,"재무제표에는 손익계산서, 대차대조표 등이 포함되어 있다."
93,재무상태표,"특정 시점의 자산, 부채, 자본 상태를 보여주는 재무제표",기업의 '건강진단서',기업의 재무구조를 한눈에 파악 가능,단순한 장부가 아니라 재무 안정성 판단 기준,삼성전자의 재무상태표를 보면 자본이 크게 늘어났다.
94,손익계산서,일정 기간 동안의 수익과 비용을 기록하여 이익을 계산한 보고서,기업의 '성적표',경영성과와 수익성을 평가하는 핵심 자료,매출이익만 보는 것이 아니라 순이익까지 확인해야 함,지난 분기 손익계산서상 영업이익이 20% 증가했다.
95,현금흐름표,일정 기간 동안 현금의 유입과 유출을 보여주는 보고서,기업의 '현금일기장',실제 현금창출 능력을 평가할 수 있음,흑자라도 현금이 없으면 부실할 수 있음,현금흐름표에 따르면 영업활동 현금흐름이 크게 개선됐다.
96,자본변동표표,일정 기간 동안 자본의 증감 내역을 나타낸 표,주주의 ‘지분변화 기록지’,"자본금, 잉여금 등 변화를 통해 재무활동 이해 가능","단순히 자본금 변동만이 아니라 배당, 평가손익도 포함",회사는 자본변동표에서 배당금 지급으로 잉여금이 감소했다고 보고했다.
97,유동자산,1년 내 현금화할 수 있는 자산,‘곧 쓸 수 있는 지갑 속 현금’,단기지급능력 판단의 기준,회사의 전 자산 중 일부일 뿐 전체 재산이 아님,기업의 유동자산이 충분해 단기부채 상환이 가능하다.
98,비유동자산,1년 이상 보유하거나 사용되는 자산,‘장기 투자용 창고’,장기적 성장 기반 확보에 중요,현금화가 느리다고 해서 가치가 낮은 건 아님,비유동자산 비중이 높으면 자산구조가 안정적일 수 있다.
99,현금및현금성자산,바로 사용할 수 있는 현금 또는 단기예금,‘바로 쓸 수 있는 돈지갑’,유동성 확보와 부도 방지에 필수,많다고 꼭 좋은 건 아님 — 투자 부진의 신호일 수도,현금및현금성자산이 3조원으로 늘었다.
100,매출채권,상품·서비스를 외상으로 팔고 아직 받지 못한 금액,‘외상값 받을 권리’,현금 유입 예정금으로 단기 자금 계획에 중요,이미 받은 돈이 아님,매출채권이 늘면 현금회수가 늦어질 수 있다.
101,재고자산,"판매를 위해 보유 중인 원재료, 제품 등",‘창고 속 돈’,적정 재고는 매출과 직결,많다고 좋은 게 아니라 과잉이면 손실 위험,재고자산 회전율이 떨어지면 자금이 묶인다.
102,유형자산,"눈에 보이는 고정자산(건물, 기계 등)",‘회사 몸집의 뼈대’,생산활동의 기반,감가상각을 통해 가치가 줄어듦,공장의 유형자산 가치는 500억 원이다.
103,무형자산,"물리적 실체가 없는 자산(특허, 상표권 등)",‘보이지 않는 경쟁력’,장기 경쟁력과 혁신의 근간,인식되지 않은 무형가치도 많음,브랜드 가치가 높은 기업은 무형자산이 크다.
104,감가상각,유형자산의 가치가 사용·시간에 따라 줄어드는 회계처리,‘차가 해마다 중고가로 떨어지는 것’,실제 현금 유출 없이 비용을 반영,현금 손실이 아니라 회계상 가치 하락,감가상각비 증가로 영업이익이 줄었다.
105,유동부채,1년 내 상환해야 하는 부채,‘곧 갚아야 할 빚’,단기지급능력(유동비율)에 중요,장기부채와 구분해야 함,유동부채 증가로 단기부채비율이 높아졌다.
106,비유동부채,1년 이후에 상환해야 하는 장기 부채,‘먼 훗날 갚을 약속어음’,장기 재무전략과 투자계획에 영향,단기 유동성 위기와는 별개,비유동부채 증가는 장기투자 확대 때문일 수 있다
107,매입채무,상품을 외상으로 사고 아직 대금 미지급인 부채,‘외상값 줄 빚’,단기 현금 유출을 예측 가능,매출채권과 함께 유동성 판단에 활용,매입채무를 제때 갚지 못해 신용등급이 하락했다.
108,사채,회사가 자금을 조달하기 위해 발행한 채권,‘기업이 찍는 회사채’,외부 차입을 통한 자금 확보 수단,불법 고리대금과 혼동 금지,회사는 500억 원 규모의 사채를 발행해 시설자금을 조달했다.
109,충당부채,미래에 발생할 가능성이 높은 부채를 미리 추정해 인식한 부채,‘앞으로 쓸 돈을 미리 떼어두는 저금통’,예상손실 반영으로 재무 신뢰성 제고,확정된 부채가 아닌 ‘추정치’임,퇴직급여 충당부채가 증가했다.
110,자본금,회사 설립 시 주주가 출자한 금액,‘기업의 씨앗돈’,기업의 최소 재무기반,회사 가치와는 별개 개념,“자본금 10억 원으로 회사를 설립했다.”
111,자본잉여금,자본거래에서 발생한 이익(예: 주식발행초과금),‘주식 발행으로 남은 여유자금’,향후 배당이나 결손보전에 사용 가능,영업이익과는 무관,자본잉여금을 활용해 결손을 보전했다.
112,주식발행초과금,주식 발행 시 액면가보다 높게 받은 금액,‘프리미엄 주가차익’,기업 신뢰도 및 투자유치 효과,영업이익이 아님,신규 발행주에서 주식발행초과금이 20억 원 발생했다.
113,매출액,상품·서비스 판매로 얻은 총수입,‘기업의 매출총합’,사업 규모와 성장률 판단의 기본,이익과 혼동 금지 — 매출=수입 아님,매출액이 1조 원을 돌파하며 사상 최대를 기록했다.
114,매출원가,매출을 올리기 위해 직접 투입된 원가,‘상품을 만드는 데 든 재료비’,원가절감은 수익성 개선의 핵심,고정비 포함 여부 혼동 주의,매출원가 상승으로 영업이익이 감소했다.
115,매출총이익,매출액에서 매출원가를 뺀 금액,‘장사에서 남은 첫 이익’,기업의 기본 수익력 판단 기준,최종 이익과는 다름,매출총이익률이 30%를 넘으면 효율적이다.
116,경상이익,영업이익에 영업외수익·비용을 반영한 이익,‘본업 + 재테크 결과’,기업의 실질적 수익성 파악,일시적 이익 포함 시 왜곡 가능,경상이익이 전년 대비 15% 늘었다.
117,영업외수익,본업 이외 활동에서 발생한 수익,‘부업으로 번 돈’,투자 및 자금운용 성과 평가,영업성과와 구분해야 함,보유 부동산 매각으로 영업외수익이 발생했다.
118,영업외비용,본업 이외의 손실이나 비용,‘부업에서 잃은 돈’,재무 리스크 파악 지표,일회성 손실인지 여부 중요,환차손 등 영업외비용이 증가했다.
119,법인세비용,기업이 이익에 대해 납부해야 하는 세금,이익의 일정 부분을 나라에 내는 비용’,순이익 계산의 마지막 단계,현금유출과 회계처리 시점 혼동 주의,법인세비용 인상으로 당기순이익이 줄었다.
120,회계기간,재무제표 작성 기준이 되는 기간,‘기업의 시간 단위’,손익 비교와 관리 기준 제공,회계기간이 다르면 단순비교 불가,회계기간을 1월~12월로 변경했다.
121,감사보고서,외부감사인이 기업의 재무제표를 검토 후 의견을 제시한 문서,‘재무제표의 품질보증서’,투자자 신뢰 확보에 핵심,무조건 적정의견이 좋은 건 아님,감사보고서에서 한정의견이 나오며 주가가 하락했다.
122,연결재무제표,모회사가 자회사 등 관계회사의 재무상태를 합산해 작성한 제표,‘그룹 전체의 통합 가계부’,그룹 실체 전체 재무상태 파악 가능,개별 재무제표와 구분 필요,연결재무제표상 매출액이 10조 원을 넘었다.
123,연결 재무제표,모회사가 자회사 등 관계회사의 재무상태를 합산해 작성한 제표,‘그룹 전체의 통합 가계부’,그룹 실체 전체 재무상태 파악 가능,개별 재무제표와 구분 필요,연결재무제표상 매출액이 10조 원을 넘었다.
124,EBITDA,이자·세금·감가상각비 차감 전 영업이익,‘현금창출력 지표’,기업의 본질적 수익력 평가,회계상 이익과 다름,EBITDA가 개선되며 현금창출력이 높아졌다.
125,자기자본이익률,순이익 ÷ 자기자본으로 계산되는 수익성 지표,‘투자한 돈 대비 얼마나 벌었는가’,경영 효율성 평가 핵심 지표,높다고 무조건 좋은 건 아님 — 부채 의존 가능성도 있음,ROE가 10%를 넘으면 자본 효율성이 우수한 편이다.
126,ROE,순이익 ÷ 자기자본으로 계산되는 수익성 지표,‘투자한 돈 대비 얼마나 벌었는가’,경영 효율성 평가 핵심 지표,높다고 무조건 좋은 건 아님 — 부채 의존 가능성도 있음,ROE가 10%를 넘으면 자본 효율성이 우수한 편이다.
127,대차대조표,자산 = 부채 + 자본의 등식으로 구성된 재무상태표,‘기업의 균형저울’,기업의 재무건전성 핵심 파악,재무상태표와 같은 의미로 혼용 가능,대차대조표를 통해 자산과 부채의 균형을 점검한다.
128,결산,일정 기간의 경영성과를 정리하는 절차,‘회계 연말 성적표’,기업의 회계 투명성과 세무기초 확보,결산은 단순 계산이 아닌 보고 절차,연말 결산 보고서 작성 시 제무제표와 손익계산서를 제출한다. 
129,회계,기업의 거래를 기록하고 정리하는 체계,‘돈의 언어’,재무제표 작성과 투명 경영의 기반,회계=세무가 아님-세무는 과세 중심,"회계 종류 중 하나는 손익 계산서를 작성하는 것으로 매출, 비용, 자산, 부채 등을 기록하는 것이다."
130,금리,돈을 빌리거나 맡길 때 적용되는 이자의 비율,돈의 ‘사용료’,경기 조절과 투자심리 핵심 변수,금리 인상은 나쁜 게 아니라 인플레 억제 수단,"금리의 종류에는 기준금리, 대출금리, 예금금리 등이 있다."
131,기준금리,중앙은행이 시중은행 간 거래의 기준으로 정한 금리,‘경제의 체온조절기’,"대출·예금 금리, 환율, 물가 등 경제 전반의 흐름을 결정하는 핵심 지표",기준금리 인상이 경기침체를 뜻하진 않음-인플레이션 억제나 환율 방어 목적일 수도 있음,"한국은행이 기준금리를 2.5%에서 3.5%로 인상하면, 시중은행들의 대출·금리가 함께 상승한다."
132,대출금리,은행 등 금융기관이 돈을 빌려줄 때 적용하는 이자율,돈을 빌릴 때의 사용료',"가계와 기업의 이자 부담, 소비 여력, 경기 활성화 등에 직접적인 영향을 미침",금리가 높다고 은행이 무조건 이익을 보는 건 아님-연체·부실 위험도 증가,"주택담보대출 금리가 5%로 책정된다면, 1억원 대출 시 연간 이자가 약 500만원이 발생하게 된다."
133,예금금리,은행에 돈을 맡길 때 받는 이자율,돈을 맡긴 대가로 받는 보관료',"가계의 저축 유인과 소비 심리에 영향을 주며, 금리 인상 시 예금 선호도가 높아짐","예금금리가 높으면 이익이지만, 대출금리도 함께 오르기 때문에 전체 경제에는 양면 효과","시중은행의 예금금리가 3%에서 4%로 오르게 된다면, 1천만원 예금 시 연간 30만원에서 40만원으로 이자 수익이 증가한다. "
134,디플레이션,물가가 전반적으로 하락하는 현상,‘경제의 식은 엔진’,"소비 감소, 경기침체 유발",물가하락이 항상 좋은 건 아님,"일본은 버블 붕괴 후 부실채권 처리 지원, 지속적인 저소비 심리 등으로 인해 장기 디플레이션을 겪었다. "
135,환율,한 나라의 통화를 다른 나라 통화로 바꾸는 비율,‘돈의 교환 비율표’,"수출입, 투자, 여행 비용에 직접 영향",환율 상승=경제 위기 아님 - 수출엔 이익,"1달러가 1,200원에서 1,400원로 상승할 경우, 수입품 가격이 상승하게 된다."
136,경기침체,생산·소비·투자가 전반적으로 위축된 상태,‘엔진이 식은 경제’,"실업 증가, 기업 투자 감소 초래",일시적 조정과 침체는 다름,GDP가 2분기 연속으로 감소 시 경기침체로 간주된다.
137,경제성장률,일정 기간 동안 경제 규모가 얼마나 커졌는지 나타내는 지표,‘국가의 성장 속도계’,국가 정책 평가와 경기 진단의 핵심,성장률이 높다고 항상 물가 안정은 아님,연간 GDP 성장률 2.5%를 기록한다는 것은 작년 대비 경제가 2.5% 확대되었다는 뜻이다.
138,실업률,일할 의사는 있지만 일자리를 얻지 못한 사람의 비율,‘일자리 체온계’,경기 건강성을 보여주는 대표 지표,실업률이 낮아도 질 좋은 일자리와 다름,한국의 실업률이 3%로 유지된다는 것은 완전 고용에 가까우나 청년층 고용은 불안할 수 있다. 
139,매몰비용,이미 지출되어 회수할 수 없는 비용,엎질러진 물',합리적인 의사 결정을 위해 과거의 손실이 아닌 미래의 이익과 비용만 고려해야 함을 알려줌.,“아까운 돈이니까 계속 투자해야지”는 착각 - 매몰비용은 미래 판단에 영향을 주면 안 됨,영화가 재미없어도 “표값이 아까워서” 끝까지 보는 행동이나 이미 낸 개발비 때문에 실패한 프로젝트를 계속 추진하는 결정 등이 있다.
140,가계부실위험지수,"가계의 소득 대비 부채 수준과 상환 부담을 종합적으로 평가하여, 가계가 부실화될 위험 정도를 나타내는 지표",빚의 체온계',가계부채로 인한 경제 전반의 불안정성을 조기에 감지하는 역할을 함.,"""소득이 많으면 부채가 많아도 괜찮다""는 오해-HDRI는 소득 대비 부채 비율과 상환능력을 함께 고려함",HDRI는 100을 초과하면 '위험 수준'으로 간주되어 금융 당국이 대출 규제 강화나 금리 인상 대응을 검토한다. 
141,HDRI,"가계의 소득 대비 부채 수준과 상환 부담을 종합적으로 평가하여, 가계가 부실화될 위험 정도를 나타내는 지표",빚의 체온계',가계부채로 인한 경제 전반의 불안정성을 조기에 감지하는 역할을 함.,"""소득이 많으면 부채가 많아도 괜찮다""는 오해-HDRI는 소득 대비 부채 비율과 상환능력을 함께 고려함",HDRI는 100을 초과하면 '위험 수준'으로 간주되어 금융 당국이 대출 규제 강화나 금리 인상 대응을 검토한다. 
142,가계수지,가계의 소득과 지출을 비교하여 재정 상태를 보여주는 통계,집안의 ‘가계부’처럼 수입과 지출을 기록하는 장부,가계의 소비·저축 구조를 파악해 경기 흐름을 이해할 수 있음,단순히 돈이 남는지 보는 지표가 아니라 전체 경제 건강성을 나타냄,가계수지가 흑자면 소비 여력이 증가해 경기 회복 신호로 해석된다.
143,가계순저축률,처분가능소득 중 저축이 차지하는 비율,물통에 담긴 물 중 나중을 위해 따로 덜어두는 비율,국민의 저축 성향과 금융시장 안정성을 판단하는 핵심 지표,저축률이 높다고 항상 좋은 건 아님 — 소비 위축을 동반할 수 있음,한국의 가계순저축률은 경기 침체기에는 상승하는 경향을 보인다.
144,가계신용통계,가계가 금융기관으로부터 빌린 돈과 신용 거래 현황을 보여주는 통계,개인의 ‘부채 현황표’,가계부채 수준을 통해 금융위기 위험도를 조기에 파악할 수 있음,신용이 높다는 건 부채가 많다는 뜻이 아님 — 상환 능력도 함께 봐야 함,한국은행은 분기마다 가계신용통계를 발표해 부채 증가율을 점검한다.
145,가계처분가능소득,세금과 사회보험료를 제외하고 자유롭게 쓸 수 있는 소득,월급에서 세금 뺀 ‘실수령액’,국민의 실질 구매력과 소비 여력을 판단하는 핵심 지표,명목소득이 높아도 처분가능소득이 낮으면 생활이 어렵다,2024년 2분기 가계처분가능소득이 감소하면서 소비 둔화 우려가 커졌다.
146,가교은행,부실 금융기관을 정리할 때 임시로 설립되는 은행,무너진 다리를 대신 놓는 ‘임시 다리’,금융시스템 불안을 막고 예금자 보호를 위한 안전장치,부실은행을 영구적으로 대체하는 기관이 아님,파산한 A은행의 자산을 인수한 가교은행이 예금 인출을 임시로 담당했다.
147,가동률,설비가 실제로 가동된 비율,공장의 ‘심장 박동률’,산업 경기의 활력을 보여주는 주요 지표,가동률이 높아도 수익성이 낮을 수 있음,제조업 가동률이 80%를 넘으면 경기 회복 신호로 해석된다.
148,가변예치의무제도,중앙은행이 시중은행의 외화예금 비율에 따라 의무 예치 비율을 조정하는 제도,수도꼭지를 돌려 물의 양을 조절하는 장치,외환시장 안정과 통화정책 조절 수단,단순한 통화량 규제가 아니라 외환유입을 관리하는 정책,외환 급증 시 가변예치의무 비율을 상향해 외화 유입을 억제했다.
149,가산금리,기준금리에 추가로 더해지는 위험 프리미엄 금리,빌린 사람의 ‘신용위험 보험료’,차입자의 신용도에 따라 금리 차이를 조정,가산금리는 은행 마음대로 정하는 게 아니라 시장 위험 반영,중소기업 대출의 가산금리가 높으면 신용위험이 크다는 신호다.
150,가상통화,중앙기관 없이 전자적으로 거래되는 디지털 화폐,현실의 돈 대신 쓰는 ‘인터넷 속 돈’,새로운 투자 및 결제 수단으로 부상,법정화폐와 달리 정부가 가치 보증하지 않음,비트코인과 이더리움은 대표적인 가상통화이다.
151,가상통화공개,블록체인 프로젝트가 자금조달을 위해 가상화폐를 발행하는 행위,주식회사가 ‘공모주’를 발행하는 것과 유사,스타트업의 혁신 자금 조달 방식,불법 다단계나 사기 ICO와 구별 필요,2017년 ICO 열풍 이후 각국은 규제 강화에 나섰다.
152,ICO,블록체인 프로젝트가 자금조달을 위해 가상화폐를 발행하는 행위,주식회사가 ‘공모주’를 발행하는 것과 유사,스타트업의 혁신 자금 조달 방식,불법 다단계나 사기 ICO와 구별 필요,2017년 ICO 열풍 이후 각국은 규제 강화에 나섰다.
153,간접금융,금융기관을 매개로 자금이 이동하는 금융 형태,은행이라는 ‘중간 다리’를 통해 돈이 오가는 구조,금융 시스템의 핵심 메커니즘,직접금융보다 자금 이동 속도가 느림,"예금자가 은행에 돈을 맡기고, 은행이 그 돈을 기업에 빌려주는 것이 간접금융이다."
154,직접금융,자금 수요자와 공급자가 금융기관을 거치지 않고 직접 거래하는 형태,기업이 투자자에게 직접 돈을 빌리는 구조,자본시장 활성화와 기업의 자금 조달 다양화에 기여,직접금융이 항상 위험한 것은 아님 — 투명한 공시가 전제됨,기업이 주식이나 채권을 발행해 자금을 모으는 것이 직접금융이다.
155,감독자협의회,금융감독기관 간 협조를 위한 국제기구,각국 ‘금융 안전관리자’들의 회의체,국제 금융안정성과 규제 조화를 위해 필요,각국의 주권을 침해하는 기구가 아님,바젤위원회와 함께 금융감독자협의회는 글로벌 규제 논의를 주도한다.
156,감응도계수,한 변수의 변동이 다른 변수에 얼마나 영향을 미치는지 나타내는 계수,온도계의 ‘민감도’처럼 반응 정도를 수치화한 것,경제 변수 간 상관관계를 분석하는 데 필수,단순 비율이 아니라 통계적 추정이 필요,소비가 소득에 얼마나 반응하는지 ‘한계소비성향’도 감응도계수의 한 예이다.
157,거시건전성 정책,금융시스템 전체의 안정성을 목표로 한 정책,경제 전체에 ‘안전벨트’를 채우는 정책,금융위기 예방과 시스템 리스크 억제,개별 금융회사 규제가 아니라 전체 안정이 목적,LTV·DTI 규제는 대표적인 거시건전성 정책 도구이다.
158,거액결제시스템,대규모 자금 이체를 안전하게 처리하는 결제 시스템,‘은행 간 고속도로 결제망’,금융기관 간 신뢰 기반의 대형 자금 거래 핵심 인프라,소액결제와 다른 특수 목적 시스템,한은금융망(BOK-Wire+)는 대표적인 거액결제시스템이다.
159,거액익스포저 규제,한 금융기관이 특정 거래상대방에 과도하게 자금을 노출하지 않도록 제한하는 규제,달걀을 한 바구니에 담지 않게 하는 ‘위험 분산’,시스템 리스크 예방,수익성 억제가 아니라 리스크 관리 목적,은행은 동일 차주에 대한 익스포저가 자기자본의 25%를 넘지 못한다.
160,결제,금융거래의 채무를 이행하는 과정,거래의 ‘마지막 고리’,금융 시스템 신뢰의 핵심 단계,단순 송금이 아니라 법적 채무의 종결 과정,카드 결제나 계좌이체는 결제 시스템을 통한 채무 이행이다.
161,결제리스크,결제 과정에서 거래가 완전히 이행되지 않을 위험,돈이 오가는 ‘릴레이’ 중 한 고리가 끊어지는 상황,금융 안정성과 신뢰에 직접 영향,단순 사고가 아니라 시스템 전체 불안으로 확대될 수 있음,한 은행의 결제 실패가 연쇄적으로 다른 은행에 영향을 미치는 것이 결제리스크다.
162,결제부족자금 공동분담제,결제 과정에서 한 은행이 자금이 부족할 때 여러 금융기관이 공동으로 자금을 분담해 결제를 완료하는 제도,릴레이 달리기 중 넘어질 때 팀 전체가 함께 부축해 완주하는 방식,결제 실패로 인한 금융시스템 마비를 예방,손실 분담이 아니라 ‘결제 안정성 확보’ 목적,한 은행의 자금 부족 시 공동분담제가 작동해 결제가 정상 완료되었다.
163,결제완결성,결제가 한 번 완료되면 되돌릴 수 없다는 법적 확정성,‘돌이킬 수 없는 거래 약속서’,금융 시스템의 신뢰와 거래 안정성을 보장,단순 기술적 완료가 아닌 법적으로도 취소 불가능해야 함,BOK-Wire+ 시스템은 결제완결성을 확보하여 대규모 거래의 안전성을 보장한다.
164,겸업주의,금융기관이 여러 종류의 금융업을 동시에 영위하는 제도,‘멀티플레이어 은행’,금융 서비스 다양화 및 시너지 창출,리스크 확산 우려 때문에 엄격한 규제가 병행됨,일부 국가에서는 겸업주의로 인해 은행과 증권이 통합된 금융그룹이 등장했다.
165,전업주의,금융기관이 한 가지 업종만 전문적으로 영위하는 제도,‘전문점’처럼 한 분야에 집중,금융 안정성 확보와 전문성 강화,시장 경쟁력 약화 가능성이 있음,미국의 글래스-스티걸법은 은행의 전업주의를 강화했다.
166,경기,경제 활동의 전체적인 흐름을 나타내는 상태,사람의 ‘체온’처럼 높고 낮음이 반복됨,경제정책 결정과 투자 판단의 기초,단기 변동만 보는 지표가 아님,경기가 침체되면 소비와 투자가 줄고 실업률이 상승한다.
167,경기동향지수,경기의 현재 흐름을 파악하기 위해 여러 지표를 종합한 지수,‘경제 기온계’,정부와 기업이 정책 방향을 설정하는 참고자료,특정 산업만으로 전체 경기를 판단할 수 없음,통계청은 매달 경기동향지수를 발표해 경기 국면을 진단한다.
,경기확산지수,경기의 현재 흐름을 파악하기 위해 여러 지표를 종합한 지수,‘경제 기온계’,정부와 기업이 정책 방향을 설정하는 참고자료,특정 산업만으로 전체 경기를 판단할 수 없음,통계청은 매달 경기동향지수를 발표해 경기 국면을 진단한다.
,경기순응성,경기의 움직임과 같은 방향으로 변하는 성질,파도와 함께 오르내리는 보트,정책이 경기를 증폭시키는지 완화시키는지 판단 기준,순응성이 높으면 오히려 불안정성 커질 수 있음,세금 수입은 경기가 좋을 때 늘고 나쁠 때 줄어드는 대표적 경기순응적 지표다.
,경기조절정책,경기 과열이나 침체를 완화하기 위한 정부의 재정·통화정책,자동차의 ‘가속페달과 브레이크’,경기 안정과 경제성장률 유지 목적,항상 정부 개입이 좋은 건 아님 — 시기와 강도 중요,정부는 경기 과열기에 금리를 인상해 소비를 억제했다.
,경제안정화정책,물가·고용·성장 등을 안정적으로 유지하기 위한 종합 경제정책,흔들리는 배를 평형 맞추는 조타 장치,경기 급등락 완화와 국민 생활 안정에 기여,성장 억제정책과 혼동 금지,중앙은행의 금리 조정은 대표적 경제안정화정책 수단이다.
,경기종합지수,경기의 순환 변동을 종합적으로 보여주는 지표,‘경제의 심장박동 그래프’,경기 판단 및 예측의 대표 지표,단기 등락만으로 경기 전환점 판단은 위험,경기종합지수는 선행·동행·후행지수로 구분되어 분석된다.
,경상수지,상품·서비스·소득의 대외거래 결과를 나타내는 지표,나라의 ‘해외 수입·지출 장부’,국가 경쟁력과 환율 안정성을 판단하는 핵심 지표,무역수지와 동일하지 않음 — 서비스·소득까지 포함,한국의 경상수지는 흑자를 유지하며 외환보유액을 늘리고 있다.
,경영실태평가,금융감독기관이 금융회사의 재무 건전성과 경영 건전성을 평가하는 제도,건강검진 결과표,부실 징후 조기 발견 및 금융시스템 보호,단순 성과평가가 아니라 리스크 관리 중심,금융감독원은 은행의 경영실태평가 결과에 따라 감독 강도를 조정한다.
,은행경영실태,"은행의 재무상태, 수익성, 유동성 등을 종합적으로 나타내는 상태",은행의 ‘건강도 지표’,예금자 보호와 금융안정 확보를 위한 필수 지표,단기 실적이 좋다고 해서 건전성이 높은 건 아님,은행경영실태가 악화되면 예금보험공사의 관리 대상이 된다.
,등급평가제도,금융회사나 국가의 신용상태를 평가해 등급을 매기는 제도,시험의 ‘성적표’,투자 위험도와 자금조달비용 결정에 영향,평가기관마다 기준이 달라 절대적 지표 아님,한국의 국가신용등급이 상향되면 외국인 투자자금이 유입된다.
,경영지도비율,금융기관의 자산 건전성을 유지하기 위해 감독기관이 설정한 관리 비율,‘안전선’,경영 악화를 조기에 방지,실제 제재 기준과 혼동하면 안 됨,BIS비율은 대표적인 경영지도비율 중 하나다.
,경영평가지표,기업의 경영성과를 수치로 나타낸 지표,차량의 ‘계기판’,효율적 자원배분과 경영진 평가에 필수,단일 지표로 전체 성과 판단은 위험,"ROE, ROA는 대표적인 경영평가지표이다."
,경제심리지수,소비자와 기업의 경기 인식과 기대를 종합한 지표,‘경제의 기분지수’,경기전망을 선행적으로 보여줌,실제 경기와 괴리가 있을 수 있음,"경제심리지수가 100을 넘으면 경기 낙관, 미만이면 비관으로 본다."
,경제협력개발기구,선진국 중심의 경제협력체로 회원국 간 정책 협의와 정보 교류를 수행,‘경제 선진국 모임’,국제 기준 제정과 통계 작성에 영향력 큼,개발도상국 차별 기구가 아님,OECD는 회원국의 교육·환경·금융정책에 대한 권고를 발표한다.
,OECD,선진국 중심의 경제협력체로 회원국 간 정책 협의와 정보 교류를 수행,‘경제 선진국 모임’,국제 기준 제정과 통계 작성에 영향력 큼,개발도상국 차별 기구가 아님,OECD는 회원국의 교육·환경·금융정책에 대한 권고를 발표한다.
,경제활동인구,일정 연령 이상의 인구 중 노동시장에 참여해 일하거나 일할 의사가 있는 사람,‘일할 준비가 된 사람들’,고용지표·실업률 산정의 기반,전체 인구와 혼동 금지 — 학생·가사자는 제외,2024년 경제활동인구는 고령층 증가로 인해 구조적 변화가 나타났다.
,비경제활동인구,일할 능력은 있으나 취업 의사나 구직활동을 하지 않는 인구,‘일할 수 있지만 쉬고 있는 사람들’,실업률 계산 시 분모에서 제외되어 노동시장 해석에 영향,실업자와 혼동하면 안 됨 — 구직활동 유무가 기준,"학생, 가사노동자, 은퇴자는 비경제활동인구에 포함된다."
,경제활동참가율,경제활동인구가 전체 인구에서 차지하는 비율,‘노동시장 참여율’,노동공급과 경기 활력을 평가하는 지표,높다고 항상 좋은 건 아님 — 과잉노동 가능성 존재,여성 경제활동참가율이 상승하면 가계소득이 개선될 수 있다.
,경제후생지표,국민의 소득뿐 아니라 삶의 질을 종합적으로 반영한 지표,‘행복지수’,단순 GDP로 설명되지 않는 복지 수준 평가,소득만으로는 후생을 평가할 수 없음,HDI(인간개발지수)는 대표적인 경제후생지표다.
