번호,작업자,금융용어,유의어,정의,비유,왜 중요?,오해 교정,예시,단어 난이도,비고
83,조재용,재무상태표,,"특정 시점의 자산, 부채, 자본 상태를 보여주는 재무제표",기업의 '건강진단서',기업의 재무구조를 한눈에 파악 가능,단순한 장부가 아니라 재무 안정성 판단 기준,삼성전자의 재무상태표를 보면 자본이 크게 늘어났다.,,
84,조재용,손익계산서,,일정 기간 동안의 수익과 비용을 기록하여 이익을 계산한 보고서,기업의 '성적표',경영성과와 수익성을 평가하는 핵심 자료,매출이익만 보는 것이 아니라 순이익까지 확인해야 함,지난 분기 손익계산서상 영업이익이 20% 증가했다.,,
85,조재용,현금흐름표,,일정 기간 동안 현금의 유입과 유출을 보여주는 보고서,기업의 '현금일기장',실제 현금창출 능력을 평가할 수 있음,흑자라도 현금이 없으면 부실할 수 있음,현금흐름표에 따르면 영업활동 현금흐름이 크게 개선됐다.,,
86,조재용,자본변동표표,,일정 기간 동안 자본의 증감 내역을 나타낸 표,주주의 ‘지분변화 기록지’,"자본금, 잉여금 등 변화를 통해 재무활동 이해 가능","단순히 자본금 변동만이 아니라 배당, 평가손익도 포함",회사는 자본변동표에서 배당금 지급으로 잉여금이 감소했다고 보고했다.,,
87,조재용,유동자산,,1년 내 현금화할 수 있는 자산,‘곧 쓸 수 있는 지갑 속 현금’,단기지급능력 판단의 기준,회사의 전 자산 중 일부일 뿐 전체 재산이 아님,기업의 유동자산이 충분해 단기부채 상환이 가능하다.,,
88,조재용,비유동자산,,1년 이상 보유하거나 사용되는 자산,‘장기 투자용 창고’,장기적 성장 기반 확보에 중요,현금화가 느리다고 해서 가치가 낮은 건 아님,비유동자산 비중이 높으면 자산구조가 안정적일 수 있다.,,
89,조재용,현금및현금성자산,,바로 사용할 수 있는 현금 또는 단기예금,‘바로 쓸 수 있는 돈지갑’,유동성 확보와 부도 방지에 필수,많다고 꼭 좋은 건 아님 — 투자 부진의 신호일 수도,현금및현금성자산이 3조원으로 늘었다.,,
90,조재용,매출채권,,상품·서비스를 외상으로 팔고 아직 받지 못한 금액,‘외상값 받을 권리’,현금 유입 예정금으로 단기 자금 계획에 중요,이미 받은 돈이 아님,매출채권이 늘면 현금회수가 늦어질 수 있다.,,
91,조재용,재고자산,,"판매를 위해 보유 중인 원재료, 제품 등",‘창고 속 돈’,적정 재고는 매출과 직결,많다고 좋은 게 아니라 과잉이면 손실 위험,재고자산 회전율이 떨어지면 자금이 묶인다.,,
92,조재용,유형자산,,"눈에 보이는 고정자산(건물, 기계 등)",‘회사 몸집의 뼈대’,생산활동의 기반,감가상각을 통해 가치가 줄어듦,공장의 유형자산 가치는 500억 원이다.,,
93,조재용,무형자산,,"물리적 실체가 없는 자산(특허, 상표권 등)",‘보이지 않는 경쟁력’,장기 경쟁력과 혁신의 근간,인식되지 않은 무형가치도 많음,브랜드 가치가 높은 기업은 무형자산이 크다.,,
94,조재용,감가상각,,유형자산의 가치가 사용·시간에 따라 줄어드는 회계처리,‘차가 해마다 중고가로 떨어지는 것’,실제 현금 유출 없이 비용을 반영,현금 손실이 아니라 회계상 가치 하락,감가상각비 증가로 영업이익이 줄었다.,,
95,조재용,유동부채,,1년 내 상환해야 하는 부채,‘곧 갚아야 할 빚’,단기지급능력(유동비율)에 중요,장기부채와 구분해야 함,유동부채 증가로 단기부채비율이 높아졌다.,,
96,조재용,비유동부채,,1년 이후에 상환해야 하는 장기 부채,‘먼 훗날 갚을 약속어음’,장기 재무전략과 투자계획에 영향,단기 유동성 위기와는 별개,비유동부채 증가는 장기투자 확대 때문일 수 있다,,
97,조재용,매입채무,,상품을 외상으로 사고 아직 대금 미지급인 부채,‘외상값 줄 빚’,단기 현금 유출을 예측 가능,매출채권과 함께 유동성 판단에 활용,매입채무를 제때 갚지 못해 신용등급이 하락했다.,,
98,조재용,사채,,회사가 자금을 조달하기 위해 발행한 채권,‘기업이 찍는 회사채’,외부 차입을 통한 자금 확보 수단,불법 고리대금과 혼동 금지,회사는 500억 원 규모의 사채를 발행해 시설자금을 조달했다.,,
99,조재용,충당부채,,미래에 발생할 가능성이 높은 부채를 미리 추정해 인식한 부채,‘앞으로 쓸 돈을 미리 떼어두는 저금통’,예상손실 반영으로 재무 신뢰성 제고,확정된 부채가 아닌 ‘추정치’임,퇴직급여 충당부채가 증가했다.,,
100,조재용,자본금,,회사 설립 시 주주가 출자한 금액,‘기업의 씨앗돈’,기업의 최소 재무기반,회사 가치와는 별개 개념,“자본금 10억 원으로 회사를 설립했다.”,,
101,조재용,자본잉여금,,자본거래에서 발생한 이익(예: 주식발행초과금),‘주식 발행으로 남은 여유자금’,향후 배당이나 결손보전에 사용 가능,영업이익과는 무관,자본잉여금을 활용해 결손을 보전했다.,,
102,조재용,주식발행초과금,,주식 발행 시 액면가보다 높게 받은 금액,‘프리미엄 주가차익’,기업 신뢰도 및 투자유치 효과,영업이익이 아님,신규 발행주에서 주식발행초과금이 20억 원 발생했다.,,
103,조재용,매출액,,상품·서비스 판매로 얻은 총수입,‘기업의 매출총합’,사업 규모와 성장률 판단의 기본,이익과 혼동 금지 — 매출=수입 아님,매출액이 1조 원을 돌파하며 사상 최대를 기록했다.,,
104,조재용,매출원가,,매출을 올리기 위해 직접 투입된 원가,‘상품을 만드는 데 든 재료비’,원가절감은 수익성 개선의 핵심,고정비 포함 여부 혼동 주의,매출원가 상승으로 영업이익이 감소했다.,,
105,조재용,매출총이익,,매출액에서 매출원가를 뺀 금액,‘장사에서 남은 첫 이익’,기업의 기본 수익력 판단 기준,최종 이익과는 다름,매출총이익률이 30%를 넘으면 효율적이다.,,
106,조재용,경상이익,,영업이익에 영업외수익·비용을 반영한 이익,‘본업 + 재테크 결과’,기업의 실질적 수익성 파악,일시적 이익 포함 시 왜곡 가능,경상이익이 전년 대비 15% 늘었다.,,
107,조재용,영업외수익,,본업 이외 활동에서 발생한 수익,‘부업으로 번 돈’,투자 및 자금운용 성과 평가,영업성과와 구분해야 함,보유 부동산 매각으로 영업외수익이 발생했다.,,
108,조재용,영업외비용,,본업 이외의 손실이나 비용,‘부업에서 잃은 돈’,재무 리스크 파악 지표,일회성 손실인지 여부 중요,환차손 등 영업외비용이 증가했다.,,
109,조재용,법인세비용,,기업이 이익에 대해 납부해야 하는 세금,이익의 일정 부분을 나라에 내는 비용’,순이익 계산의 마지막 단계,현금유출과 회계처리 시점 혼동 주의,법인세비용 인상으로 당기순이익이 줄었다.,,
110,조재용,회계기간,,재무제표 작성 기준이 되는 기간,‘기업의 시간 단위’,손익 비교와 관리 기준 제공,회계기간이 다르면 단순비교 불가,회계기간을 1월~12월로 변경했다.,,
111,조재용,감사보고서,,외부감사인이 기업의 재무제표를 검토 후 의견을 제시한 문서,‘재무제표의 품질보증서’,투자자 신뢰 확보에 핵심,무조건 적정의견이 좋은 건 아님,감사보고서에서 한정의견이 나오며 주가가 하락했다.,,
112,조재용,연결재무제표,,모회사가 자회사 등 관계회사의 재무상태를 합산해 작성한 제표,‘그룹 전체의 통합 가계부’,그룹 실체 전체 재무상태 파악 가능,개별 재무제표와 구분 필요,연결재무제표상 매출액이 10조 원을 넘었다.,,
113,조재용,EBITDA,"이자, 세금, 감가상각비, 무형자산 상각비 차감 전 이익",이자·세금·감가상각비 차감 전 영업이익,‘현금창출력 지표’,기업의 본질적 수익력 평가,회계상 이익과 다름,EBITDA가 개선되며 현금창출력이 높아졌다.,,
114,조재용,자기자본이익률,ROE,순이익 ÷ 자기자본으로 계산되는 수익성 지표,‘투자한 돈 대비 얼마나 벌었는가’,경영 효율성 평가 핵심 지표,높다고 무조건 좋은 건 아님 — 부채 의존 가능성도 있음,ROE가 10%를 넘으면 자본 효율성이 우수한 편이다.,,
115,조재용,대차대조표,,자산 = 부채 + 자본의 등식으로 구성된 재무상태표,‘기업의 균형저울’,기업의 재무건전성 핵심 파악,재무상태표와 같은 의미로 혼용 가능,대차대조표를 통해 자산과 부채의 균형을 점검한다.,,
116,조재용,결산,,일정 기간의 경영성과를 정리하는 절차,‘회계 연말 성적표’,기업의 회계 투명성과 세무기초 확보,결산은 단순 계산이 아닌 보고 절차,연말 결산 보고서 작성 시 제무제표와 손익계산서를 제출한다. ,,
117,조재용,회계,,기업의 거래를 기록하고 정리하는 체계,‘돈의 언어’,재무제표 작성과 투명 경영의 기반,회계=세무가 아님-세무는 과세 중심,"회계 종류 중 하나는 손익 계산서를 작성하는 것으로 매출, 비용, 자산, 부채 등을 기록하는 것이다.",,
118,조재용,금리,,돈을 빌리거나 맡길 때 적용되는 이자의 비율,돈의 ‘사용료’,경기 조절과 투자심리 핵심 변수,금리 인상은 나쁜 게 아니라 인플레 억제 수단,"금리의 종류에는 기준금리, 대출금리, 예금금리 등이 있다.",,
119,조재용,기준금리,,중앙은행이 시중은행 간 거래의 기준으로 정한 금리,‘경제의 체온조절기’,"대출·예금 금리, 환율, 물가 등 경제 전반의 흐름을 결정하는 핵심 지표",기준금리 인상이 경기침체를 뜻하진 않음-인플레이션 억제나 환율 방어 목적일 수도 있음,"한국은행이 기준금리를 2.5%에서 3.5%로 인상하면, 시중은행들의 대출·금리가 함께 상승한다.",,
120,조재용,대출금리,,은행 등 금융기관이 돈을 빌려줄 때 적용하는 이자율,돈을 빌릴 때의 사용료',"가계와 기업의 이자 부담, 소비 여력, 경기 활성화 등에 직접적인 영향을 미침",금리가 높다고 은행이 무조건 이익을 보는 건 아님-연체·부실 위험도 증가,"주택담보대출 금리가 5%로 책정된다면, 1억원 대출 시 연간 이자가 약 500만원이 발생하게 된다.",,
121,조재용,예금금리,,은행에 돈을 맡길 때 받는 이자율,돈을 맡긴 대가로 받는 보관료',"가계의 저축 유인과 소비 심리에 영향을 주며, 금리 인상 시 예금 선호도가 높아짐","예금금리가 높으면 이익이지만, 대출금리도 함께 오르기 때문에 전체 경제에는 양면 효과","시중은행의 예금금리가 3%에서 4%로 오르게 된다면, 1천만원 예금 시 연간 30만원에서 40만원으로 이자 수익이 증가한다. ",,
122,조재용,디플레이션,,물가가 전반적으로 하락하는 현상,‘경제의 식은 엔진’,"소비 감소, 경기침체 유발",물가하락이 항상 좋은 건 아님,"일본은 버블 붕괴 후 부실채권 처리 지원, 지속적인 저소비 심리 등으로 인해 장기 디플레이션을 겪었다. ",,
123,조재용,환율,,한 나라의 통화를 다른 나라 통화로 바꾸는 비율,‘돈의 교환 비율표’,"수출입, 투자, 여행 비용에 직접 영향",환율 상승=경제 위기 아님 - 수출엔 이익,"1달러가 1,200원에서 1,400원로 상승할 경우, 수입품 가격이 상승하게 된다.",,
124,조재용,경기침체,,생산·소비·투자가 전반적으로 위축된 상태,‘엔진이 식은 경제’,"실업 증가, 기업 투자 감소 초래",일시적 조정과 침체는 다름,GDP가 2분기 연속으로 감소 시 경기침체로 간주된다.,,
125,조재용,경제성장률,,일정 기간 동안 경제 규모가 얼마나 커졌는지 나타내는 지표,‘국가의 성장 속도계’,국가 정책 평가와 경기 진단의 핵심,성장률이 높다고 항상 물가 안정은 아님,연간 GDP 성장률 2.5%를 기록한다는 것은 작년 대비 경제가 2.5% 확대되었다는 뜻이다.,,
126,조재용,실업률,,일할 의사는 있지만 일자리를 얻지 못한 사람의 비율,‘일자리 체온계’,경기 건강성을 보여주는 대표 지표,실업률이 낮아도 질 좋은 일자리와 다름,한국의 실업률이 3%로 유지된다는 것은 완전 고용에 가까우나 청년층 고용은 불안할 수 있다. ,,
127,조재용,매몰비용,,이미 지출되어 회수할 수 없는 비용,엎질러진 물',합리적인 의사 결정을 위해 과거의 손실이 아닌 미래의 이익과 비용만 고려해야 함을 알려줌.,“아까운 돈이니까 계속 투자해야지”는 착각 - 매몰비용은 미래 판단에 영향을 주면 안 됨,영화가 재미없어도 “표값이 아까워서” 끝까지 보는 행동이나 이미 낸 개발비 때문에 실패한 프로젝트를 계속 추진하는 결정 등이 있다.,,
128,조재용,가계부실위험지수,HDRI,"가계의 소득 대비 부채 수준과 상환 부담을 종합적으로 평가하여, 가계가 부실화될 위험 정도를 나타내는 지표",빚의 체온계',가계부채로 인한 경제 전반의 불안정성을 조기에 감지하는 역할을 함.,"""소득이 많으면 부채가 많아도 괜찮다""는 오해-HDRI는 소득 대비 부채 비율과 상환능력을 함께 고려함",HDRI는 100을 초과하면 '위험 수준'으로 간주되어 금융 당국이 대출 규제 강화나 금리 인상 대응을 검토한다. ,,
129,손연우,헷지,,투자 등을 진행 할 때 손실 위험을 감소하기 위해 손실이 발생하면 이득을 보는 분야에 투자하는 것,비가 올지 몰라 우산을 챙기는 것,투자 시 손실 위험도를 줄일 수 있음,헷지는 이익을 내기 위한 투자가 아니라 손실을 줄이는 투자,달러 환율 손해를 막기 위해 미리 현재 가격으로 달라를 구매해둠,,
130,손연우,인플레이션,,물가수준이 지속적으로 상승하는 현상,"예전엔 1,000원으로 과자 2개 샀는데, 지금은 1개밖에 못 사는 것",일반 소비자는 생활비 부담과 저축 가치가 줄어들고 근로자들의 임금 인상 욕구가 높아짐,인플레이션이 연 2% 이내의 적당한 수준으로 진행된다면 경제 성장에 도움이 됨,한국은행은 연 5% 물가 상승을 기록하며 한국이 인플레이션에 접어들었다고 고시하였다.,초급,
131,손연우,관세전쟁,,"한 나라가 자국 산업을 보호하려고 수입품에 높은 세금(관세) 을 매기자,
상대국도 보복 관세로 대응하면서 벌어지는 경제적 갈등",반찬을 나눠먹던 친구들이 서로에게 반찬값을 매기며 다투는것,무역 축소로 이어지기 쉽고 이는 수출입에 대한 비용이 증가하여 경제 성장에 악화를 야기함,관세 전쟁은 대부분 승자가 없이 부담만 늘어나는 결과를 초래함,미국 중국 간 관세전쟁은 서로의 수출입 품에 높은 관세를 매기며 이어오고 있다.,,
132,손연우,공포탐욕지수,,미국 CNN이 만든 시장을 투자자들이 바라보는 시각을 수치화 한 지수 100이 시장 과열 상태를 뜻함,"놀이공원 롤러코스터 기준으로 공포지수는 ""무서워서 안타는 사람"" 탐욕지수는 ""신나서 줄서있는사람""을 보여줌","투자자가 새로운 시장에 투자를 고민하거나, 매수 매도 타이밍을 선정하기 위한 참고 지표로 활용",지수가 높으면 무조건 팔아야 하는 것은 아님. 해당 지표가 장기적인지 단기적 인지에 대한 고려가 반영 되어있지는 않음,"코로나 팬데믹 시기에 공포지수 10 이하로 대부분의 투자자들이 주식시장에서 매도세가 이어지고, 이후 회복기에는 탐욕지수 90 이상의 시장 과열을 보여주었다.",,
133,손연우,가상자산시장,,블록체인 기술을 기반으로 한 디지털 자산(코인·토큰 등) 이 거래되는 시장,중앙은행이 없는 인터넷 속의 주식시장,높은 수익성과 동시에 변동성 위험도 매우 큼,"가상자산의 거래는 대부분 합법적이지만, 불법 거래가 일부 존재하는 것",가상자산시장에 가장 핵심적인 자산은 비트코인으로 디지털 금이라고도 불린다.,,
134,손연우,온체인 대출,,블록체인 네트워크 상에서 스마트계약을 활용해 중개자 없이 이루어지는 디지털 자산 대출 구조,은행 창구 대신 프로그램 코드가 자동으로 돈을 빌려주는 탈중앙 금융 구조,"신용심사 없이 담보 기반으로 즉시 대출이 가능하며, 탈중앙화·투명성·접근성 향상의 핵심 기술 영역","중앙은행이 통제하는 대출 시스템으로 혼동되지만, 실제론 개인 간(P2P) 스마트계약으로 운영되는 분산형 서비스",사용자가 이더리움을 담보로 맡기고 DAI 스테이블코인을 빌리는 MakerDAO 대출 프로토콜 이용 사례가 있다.,,
135,손연우,활성 차입자,,금융 또는 디파이(DeFi) 시장에서 대출 자산을 적극적으로 운용·변경하며 수익을 추구하는 차입자 유형,"단순히 돈을 빌려 쓰는 사람이 아니라, 빌린 자금을 투자 수단으로 돌려쓰는 ‘재테크형 대출 사용자’","시장 유동성 증가와 자금 흐름 촉진에 기여하며, 레버리지 전략 및 수익 구조 다변화의 핵심 참여자 역할","단순한 고위험 투자자나 과도한 부채자와 동일시되지만, 전략적 차입과 상환을 반복하며 효율적 자금 운용을 지향하는 투자자 유형","온체인 대출 플랫폼에서 담보 자산을 활용해 스테이블코인을 빌린 뒤,
이를 다시 이자 수익형 풀에 예치하는 Aave 프로토콜 내 적극적 차입 활동 사례가 있다.",,
136,손연우,스마트 계약,,블록체인 상에서 조건이 충족되면 자동으로 실행되는 프로그램 코드 기반 계약,사람이 개입하지 않아도 자동으로 거래·계약을 수행하는 디지털 계약서,"탈중앙화·신뢰성 확보와 중개 비용 절감, 거래 자동화에 핵심 역할","법적 계약과 동일시되지만, 법적 효력은 관할법에 따라 다르며 코드 실행 중심의 자동화 수단",디파이(DeFi) 플랫폼에서 사용자가 담보를 맡기면 자동으로 대출·이자 계산·청산이 진행되는 Aave 스마트 계약이 예시이다.,,
137,손연우,디파이,DeFi,블록체인 기술 기반으로 중개자 없이 금융 서비스를 제공하는 탈중앙화 금융 생태계,은행 없이 스마트 콘트랙트와 P2P 거래로 이루어지는 온라인 금융 시스템,"신뢰 없는 환경에서도 대출, 예치, 거래, 파생상품 등 금융 활동 가능하며 접근성과 투명성 제공","기존 은행과 동일한 안전성을 가진다고 생각하지만, 코드 오류·시장 변동성에 따른 위험 존재","사용자가 이더리움을 담보로 스테이블코인을 빌리고, 이를 유동성 풀에 예치하여 이자 수익을 얻는 Aave 플랫폼 등이 해당된다.",,
138,손연우,전년 동기 대비 증가율,,특정 지표가 전년도 같은 기간 대비 얼마나 변화했는지 비율로 나타내는 성장률,작년 같은 달과 비교해서 성적이 얼마나 올랐는지 확인하는 ‘성장 점수’,계절·월별 변동을 제거하고 장기 추세와 성장 정도를 직관적으로 파악하는 핵심 지표,"단순 증가액과 혼동되지만, 변화율(%)로 표시되므로 규모와 무관하게 성장 정도를 보여줌","한 기업의 2025년 3월 매출이 120억, 2024년 3월 매출이 100억일 때,
전년 동기 대비 증가율 = 20% 성장이라 표현한다.",,
139,손연우,갑기금,,국가나 지방자치단체가 조성하여 특정 목적(산업 육성·기술 개발 등)에 사용하는 공공성 자금,정부가 경제의 특정 분야를 키우기 위해 운용하는 ‘지원용 공동 지갑’,민간 자본이 투자하기 어려운 영역에 자금을 공급하여 산업 경쟁력 강화와 공공 이익 실현에 기여,"일반 투자펀드처럼 수익만을 목적으로 운용된다고 생각하지만,
실제로는 정책 목적(고용 창출·기술 지원 등) 이 우선되는 정책성 자금",중소벤처기업부가 창업·벤처 활성화를 위해 모태펀드(갑기금) 출자금을 기반으로 민간 벤처펀드에 투자하였다.,,
140,손연우,을기금,,"정부가 출자한 모태펀드(갑기금) 자금을 받아
민간 벤처캐피털(VC) 이 운용하는 자(子)펀드 구조의 투자 자금","정부가 씨앗자금(갑기금)을 주고, 민간이 이를 실제로 투자·운용하는 ‘실행형 펀드’","정책 자금이 시장으로 흘러가도록 연결하는 정부-민간 간의 가교 역할,
창업·벤처기업의 성장 자금 공급 핵심 채널","갑기금과 동일한 공공기금으로 혼동되지만, 을기금은 민간 운용사가 실제 투자 결정을 내리는 실행 펀드","모태펀드가 100억 원을 출자하고, 민간 VC가 200억 원을 매칭해 조성한
창업 초기기업 투자용 을기금(총 300억 원 규모) 운용 하였다.",,
141,손연우,생산자물가지수,,기업이 상품이나 서비스를 생산해 도매상이나 소매상에 판매할 때의 가격 수준을 나타내는 지표,"소비자가 물건을 사기 전, 가게 창고에서 형성되는 가격의 체온계",생산 비용 상승이 향후 소비자물가로 전이되기 때문에 인플레이션의 선행 신호로 활용되는 지표,"소비자물가와 동일하다고 생각하기 쉽지만, 생산자물가는 유통 이전 단계의 가격을 의미",최근 국제 원자재 가격 상승으로 9월 생산자물가가 전년 대비 3% 올랐다.,,
142,손연우,담보인정비율,LTV,담보로 제공된 자산 가치 대비 금융기관이 빌려주는 금액의 비율,집값 중 은행이 빌려주는 비율을 보여주는 ‘대출 허용선’의 자,대출 가능 한도와 금융시장의 건전성을 결정하는 부동산·대출 규제의 핵심 지표,"LTV가 높다고 무조건 이득은 아니며, 부채 부담과 상환 리스크가 함께 커짐",아파트 가격이 5억 원일 때 LTV 60%가 적용되면 최대 3억 원까지 대출이 가능하다.,,
143,손연우,주택담보대출,주담대,주택을 담보로 제공하고 금융기관에서 자금을 빌리는 대출 형태,집을 잠시 맡기고 돈을 빌리는 ‘집 담보 대출 계약’의 개념,"개인의 주거 자금 조달 수단이자, 금융시장의 부채 규모와 금리 정책에 직접 영향을 주는 주요 대출 형태","집을 담보로 잡히면 소유권이 넘어간다고 생각하기 쉽지만, 대출 상환 시 소유권은 여전히 대출자에게 있음",신혼부부가 내 집 마련을 위해 주택담보대출 2억 원을 받아 20년 동안 분할 상환하기로 했다.,,
144,손연우,분양가상한제,,"신규 주택 분양 시, 정부가 정한 기준에 따라 분양가의 상한선을 제한하는 제도",집값이 과열되지 않도록 뚜껑을 덮는 ‘가격 캡(cap)’ 제도,주택시장 안정과 실수요자 보호를 위한 정부의 대표적 부동산 가격 규제 수단,"분양가상한제가 적용되면 집값이 무조건 내려가는 것은 아니며, 공급 위축 등 부작용이 함께 발생할 수 있음","정부는 서울 주요 재건축 단지에 분양가상한제를 적용해 분양가를 평당 3,000만 원 이하로 제한했다.",,
145,손연우,기업설명회,"NDR, Non-Deal Roadshow",기업이 투자자나 애널리스트를 대상으로 경영 실적과 향후 계획을 설명하는 공식 행사,투자자에게 회사의 현재 상태와 미래를 소개하는 ‘기업 홍보 프레젠테이션’의 장,투자자에게 회사의 현재 상태와 미래를 소개하는 ‘기업 홍보 프레젠테이션’의 장,"‘기업설명회’가 곧 투자 유치를 의미하는 것은 아니며, NDR은 거래(Deal) 없는 정보 제공 목적의 행사",삼성전자는 해외 기관투자자 대상 NDR을 열어 반도체 시장 전망과 투자 전략을 공유했다.,,
146,손연우,동결,Freeze,기존 수준의 금리나 자산 상태를 변경 없이 그대로 유지하는 결정 또는 조치,움직임을 멈추고 그대로 얼려두는 ‘정지 버튼’의 상태,"금리 동결의 경우 경기 안정 신호로 작용하며, 중앙은행의 통화정책 방향을 가늠하는 핵심 지표","동결이 경제 안정만을 의미하지 않으며, 불확실성 속에서 신중한 관망 전략일 수도 있음",한국은행은 기준금리를 3.5%로 동결하며 경기 상황을 좀 더 지켜보겠다고 밝혔다.,,
147,손연우,개인간대출,"Peer-to-Peer Lending, P2P 대출",금융기관을 거치지 않고 온라인 플랫폼을 통해 개인이나 기업 간 직접 이루어지는 대출 거래 방식,은행을 통하지 않고 사람과 사람이 직접 돈을 빌려주는 ‘디지털 금융 장터’,중개 비용 절감과 투자 기회 확대를 통해 금융 접근성을 높이고 개인 투자 시장을 확장하는 혁신 금융 모델,"P2P 대출은 은행 예금처럼 원금이 보장되지 않으며, 투자 손실 가능성이 존재함",그는 부동산 담보 기반 P2P 대출 플랫폼에 100만 원을 투자해 10개월간 이자를 받았다.,,
148,손연우,온라인투자연계금융업,"P2P금융업, Online Investment-linked Finance Business",온라인 플랫폼을 통해 다수의 투자자 자금을 모아 차입자에게 대출해주는 금융 중개업,여러 사람의 돈을 모아 필요한 사람에게 연결해주는 ‘디지털 금융 다리’,혁신 금융서비스로서 비은행권 대출의 투명성과 투자자 보호를 제도권 안으로 포함한 제도적 틀,"P2P 대출과 완전히 동일하지 않으며, 법적 인가를 받은 업체만이 정식 온라인투자연계금융업자로 활동 가능",해당 스타트업은 금융위원회 인가를 받아 온라인투자연계금융업자로 등록하고 개인 간 대출 서비스를 운영 중이다.,,
149,,,,,,,,,,
150,,,,,,,,,,
151,,,,,,,,,,
152,,,,,,,,,,
153,,,,,,,,,,
154,,,,,,,,,,
155,,,,,,,,,,
156,,,,,,,,,,
157,,,,,,,,,,
158,,,,,,,,,,
159,,,,,,,,,,
160,,,,,,,,,,
161,,,,,,,,,,
162,,,,,,,,,,
163,,,,,,,,,,
164,,,,,,,,,,
165,,,,,,,,,,
166,,,,,,,,,,
167,,,,,,,,,,
168,,,,,,,,,,
169,,,,,,,,,,
170,,,,,,,,,,
171,,,,,,,,,,
172,,,,,,,,,,
173,,,,,,,,,,
174,,,,,,,,,,
175,,,,,,,,,,
176,,,,,,,,,,
177,,,,,,,,,,
178,,,,,,,,,,
179,,,,,,,,,,
180,,,,,,,,,,
181,,,,,,,,,,
182,,,,,,,,,,
183,,,,,,,,,,
184,,,,,,,,,,
185,,,,,,,,,,
186,,,,,,,,,,
187,,,,,,,,,,
188,,,,,,,,,,
189,,,,,,,,,,
190,,,,,,,,,,
191,,,,,,,,,,
192,,,,,,,,,,
193,,,,,,,,,,
194,,,,,,,,,,
195,,,,,,,,,,
196,,,,,,,,,,
197,,,,,,,,,,
198,,,,,,,,,,
199,,,,,,,,,,
200,,,,,,,,,,
201,,,,,,,,,,
202,,,,,,,,,,
203,,,,,,,,,,
204,,,,,,,,,,
205,,,,,,,,,,
206,,,,,,,,,,
207,,,,,,,,,,
208,,,,,,,,,,
209,,,,,,,,,,
210,,,,,,,,,,
211,,,,,,,,,,
212,,,,,,,,,,
213,,,,,,,,,,
214,,,,,,,,,,
215,,,,,,,,,,
216,,,,,,,,,,
217,,,,,,,,,,
218,,,,,,,,,,
219,,,,,,,,,,
220,,,,,,,,,,
221,,,,,,,,,,
222,,,,,,,,,,
223,,,,,,,,,,
224,,,,,,,,,,
225,,,,,,,,,,
226,,,,,,,,,,
227,,,,,,,,,,
228,,,,,,,,,,
229,,,,,,,,,,
230,,,,,,,,,,
231,,,,,,,,,,
232,,,,,,,,,,
233,,,,,,,,,,
234,,,,,,,,,,
